value,method
1.1053370786516863,SimpleBO
2.7907303370786525,SimpleBO
1.9480337078651693,SimpleBO
2.474719101123596,SimpleBO
1.351123595505619,SimpleBO
2.018258426966293,SimpleBO
2.4396067415730345,SimpleBO
2.5449438202247197,SimpleBO
1.9831460674157313,SimpleBO
1.316011235955057,SimpleBO
2.334269662921349,SimpleBO
1.0702247191011245,SimpleBO
1.0702247191011245,SimpleBO
1.2106741573033717,SimpleBO
2.1235955056179785,SimpleBO
2.193820224719102,SimpleBO
1.491573033707866,SimpleBO
1.702247191011237,SimpleBO
1.2808988764044953,SimpleBO
1.0702247191011245,SimpleBO
1.17556179775281,SimpleBO
2.509831460674158,SimpleBO
1.4213483146067425,SimpleBO
2.1235955056179785,SimpleBO
1.2106741573033717,SimpleBO
2.2289325842696637,SimpleBO
2.4396067415730345,SimpleBO
2.334269662921349,SimpleBO
1.351123595505619,SimpleBO
2.6502808988764053,SimpleBO
2.474719101123596,SimpleBO
1.4213483146067425,SimpleBO
2.6151685393258433,SimpleBO
2.2640449438202253,SimpleBO
2.2640449438202253,SimpleBO
2.860955056179776,SimpleBO
1.3862359550561807,SimpleBO
2.4396067415730345,SimpleBO
2.474719101123596,SimpleBO
2.5449438202247197,SimpleBO
2.685393258426967,SimpleBO
2.6151685393258433,SimpleBO
2.825842696629214,SimpleBO
2.860955056179776,SimpleBO
1.351123595505619,SimpleBO
1.351123595505619,SimpleBO
2.825842696629214,SimpleBO
1.4213483146067425,SimpleBO
2.4044943820224725,SimpleBO
1.2457865168539335,SimpleBO
1.351123595505619,SimpleBO
2.2640449438202253,SimpleBO
1.7724719101123605,SimpleBO
2.369382022471911,SimpleBO
1.2106741573033717,SimpleBO
2.825842696629214,SimpleBO
1.17556179775281,SimpleBO
2.4396067415730345,SimpleBO
2.6151685393258433,SimpleBO
2.018258426966293,SimpleBO
1.2457865168539335,SimpleBO
2.5449438202247197,SimpleBO
2.685393258426967,SimpleBO
2.5800561797752817,SimpleBO
1.351123595505619,SimpleBO
2.7556179775280905,SimpleBO
2.15870786516854,SimpleBO
1.5969101123595515,SimpleBO
1.7724719101123605,SimpleBO
2.7556179775280905,SimpleBO
1.0351123595505627,SimpleBO
2.6151685393258433,SimpleBO
2.1235955056179785,SimpleBO
2.825842696629214,SimpleBO
2.7907303370786525,SimpleBO
1.316011235955057,SimpleBO
2.334269662921349,SimpleBO
1.9129213483146077,SimpleBO
1.316011235955057,SimpleBO
2.685393258426967,SimpleBO
1.140449438202248,SimpleBO
2.2991573033707873,SimpleBO
2.2640449438202253,SimpleBO
2.053370786516855,SimpleBO
1.351123595505619,SimpleBO
1.2808988764044953,SimpleBO
2.720505617977529,SimpleBO
1.0702247191011245,SimpleBO
2.1235955056179785,SimpleBO
2.2289325842696637,SimpleBO
2.5800561797752817,SimpleBO
1.2106741573033717,SimpleBO
2.5449438202247197,SimpleBO
1.1053370786516863,SimpleBO
2.5449438202247197,SimpleBO
2.0884831460674165,SimpleBO
2.5449438202247197,SimpleBO
1.2106741573033717,SimpleBO
1.2808988764044953,SimpleBO
1.526685393258428,SimpleBO
1.702247191011237,SimpleBO
2.2289325842696637,SimpleBO
2.15870786516854,SimpleBO
1.877808988764046,SimpleBO
2.8960674157303377,SimpleBO
2.2640449438202253,SimpleBO
1.140449438202248,SimpleBO
2.5449438202247197,SimpleBO
2.685393258426967,SimpleBO
2.193820224719102,SimpleBO
2.2991573033707873,SimpleBO
2.860955056179776,SimpleBO
2.474719101123596,SimpleBO
1.2808988764044953,SimpleBO
2.5800561797752817,SimpleBO
2.2289325842696637,SimpleBO
2.2289325842696637,SimpleBO
2.474719101123596,SimpleBO
2.15870786516854,SimpleBO
2.6151685393258433,SimpleBO
1.2457865168539335,SimpleBO
1.1053370786516863,SimpleBO
1.3862359550561807,SimpleBO
2.2289325842696637,SimpleBO
2.369382022471911,SimpleBO
2.4396067415730345,SimpleBO
2.2640449438202253,SimpleBO
2.509831460674158,SimpleBO
2.053370786516855,SimpleBO
1.2808988764044953,SimpleBO
1.2457865168539335,SimpleBO
1.2106741573033717,SimpleBO
1.2808988764044953,SimpleBO
1.842696629213484,SimpleBO
3.001404494382023,SimpleBO
1.316011235955057,SimpleBO
1.2457865168539335,SimpleBO
1.7373595505617987,SimpleBO
2.8960674157303377,SimpleBO
1.2457865168539335,SimpleBO
1.702247191011237,SimpleBO
1.2808988764044953,SimpleBO
2.6151685393258433,SimpleBO
2.6151685393258433,SimpleBO
2.4044943820224725,SimpleBO
2.720505617977529,SimpleBO
1.491573033707866,SimpleBO
1.6671348314606749,SimpleBO
2.2991573033707873,SimpleBO
2.2640449438202253,SimpleBO
2.15870786516854,SimpleBO
2.509831460674158,SimpleBO
2.720505617977529,SimpleBO
2.334269662921349,SimpleBO
1.3862359550561807,SimpleBO
2.15870786516854,SimpleBO
2.9662921348314613,SimpleBO
2.860955056179776,SimpleBO
2.9662921348314613,SimpleBO
2.5800561797752817,SimpleBO
1.1053370786516863,SimpleBO
2.860955056179776,SimpleBO
2.4044943820224725,SimpleBO
2.5449438202247197,SimpleBO
3.176966292134832,SimpleBO
1.140449438202248,SimpleBO
1.140449438202248,SimpleBO
2.2289325842696637,SimpleBO
1.2808988764044953,SimpleBO
1.2808988764044953,SimpleBO
2.018258426966293,SimpleBO
2.2991573033707873,SimpleBO
2.474719101123596,SimpleBO
2.5449438202247197,SimpleBO
2.2289325842696637,SimpleBO
3.1067415730337085,SimpleBO
3.176966292134832,SimpleBO
1.351123595505619,SimpleBO
2.6151685393258433,SimpleBO
2.6151685393258433,SimpleBO
2.685393258426967,SimpleBO
1.877808988764046,SimpleBO
2.7556179775280905,SimpleBO
1.2457865168539335,SimpleBO
2.720505617977529,SimpleBO
2.860955056179776,SimpleBO
1.2808988764044953,SimpleBO
2.2991573033707873,SimpleBO
2.15870786516854,SimpleBO
2.6151685393258433,SimpleBO
1.4213483146067425,SimpleBO
1.5969101123595515,SimpleBO
1.491573033707866,SimpleBO
2.7907303370786525,SimpleBO
1.2457865168539335,SimpleBO
2.474719101123596,SimpleBO
1.1053370786516863,SimpleBO
3.176966292134832,SimpleBO
2.9311797752808997,SimpleBO
2.0884831460674165,SimpleBO
